AÑO;MES;CCAA_DESTINO;CONTINENTE_ORIGEN;PAIS_ORIGEN;TURISTAS;PERNOCTACIONES;ESTANCIA_MEDIA
2019;11;Andalucía;América;Nicaragua;357.0;3937.0;11.0
2019;11;Andalucía;América;Panamá;153.0;1533.0;10.0
2019;11;Andalucía;América;Paraguay;150.0;1336.0;8.9
2019;11;Andalucía;América;Perú;318.0;3254.0;10.2
2019;11;Andalucía;América;República Dominicana;43.0;323.0;7.5
2019;11;Andalucía;América;Uruguay;157.0;1272.0;8.1
2019;11;Andalucía;América;Venezuela;373.0;5324.0;14.3
2019;11;Andalucía;Asia;Arabia Saudí;513.0;3524.0;6.9
2019;11;Andalucía;Asia;Azerbaiyán;47.0;171.0;3.6
2019;11;Andalucía;Asia;Bahréin;46.0;239.0;5.2
2019;11;Andalucía;Asia;China;12917.0;71402.0;5.5
2019;11;Andalucía;Asia;Corea;3358.0;18055.0;5.4
2019;11;Andalucía;Asia;Emiratos Árabes Unidos;717.0;4666.0;6.5
2019;11;Andalucía;Asia;Filipinas;6694.0;31274.0;4.7
2019;11;Andalucía;Asia;India;1617.0;8980.0;5.6
2019;11;Andalucía;Asia;Indonesia;697.0;3821.0;5.5
2019;11;Andalucía;Asia;Iraq;34.0;275.0;8.1
2019;11;Andalucía;Asia;Irán;151.0;1139.0;7.5
2019;11;Andalucía;Asia;Israel;958.0;5320.0;5.6
2019;11;Andalucía;Asia;Japón;2212.0;11403.0;5.2
2019;11;Andalucía;Asia;Jordania;71.0;388.0;5.5
2019;11;Andalucía;Asia;Kazajstán;126.0;836.0;6.6
2019;11;Andalucía;Asia;Kuwait;100.0;732.0;7.3
2019;11;Andalucía;Asia;Líbano;100.0;603.0;6.0
2019;11;Andalucía;Asia;Malasia;597.0;4593.0;7.7
2019;11;Andalucía;Asia;Myanmar;107.0;363.0;3.4
2019;11;Andalucía;Asia;Omán;58.0;329.0;5.7
2019;11;Andalucía;Asia;Otros países de Asia;776.0;3952.0;5.1
2019;11;Andalucía;Asia;Pakistán;41.0;310.0;7.6
2019;11;Andalucía;Asia;Qatar;169.0;1331.0;7.9
2019;11;Andalucía;Asia;Singapur;567.0;3803.0;6.7
2019;11;Andalucía;Asia;Siria;38.0;226.0;5.9
2019;11;Andalucía;Asia;Sri Lanka;138.0;523.0;3.8
2019;11;Andalucía;Asia;Tailandia;643.0;8064.0;12.5
2019;11;Andalucía;Asia;Vietnam;88.0;611.0;6.9
2019;11;Andalucía;Europa;Albania;93.0;563.0;6.1
2019;11;Andalucía;Europa;Alemania;78586.0;908644.0;11.6
2019;11;Andalucía;Europa;Andorra;413.0;3043.0;7.4
2019;11;Andalucía;Europa;Austria;11351.0;138934.0;12.2
2019;11;Andalucía;Europa;Belarús;195.0;1376.0;7.1
2019;11;Andalucía;Europa;Bosnia y Herzegovina;32.0;180.0;5.6
2019;11;Andalucía;Europa;Bulgaria;1723.0;20743.0;12.0
2019;11;Andalucía;Europa;Bélgica;32372.0;226765.0;7.0
2019;11;Andalucía;Europa;Chipre;104.0;665.0;6.4
2019;11;Andalucía;Europa;Croacia;985.0;7450.0;7.6
2019;11;Andalucía;Europa;Dinamarca;16358.0;157925.0;9.7
2019;11;Andalucía;Europa;Eslovenia;861.0;6297.0;7.3
2019;11;Andalucía;Europa;Estonia;2159.0;26124.0;12.1
2019;11;Andalucía;Europa;Finlandia;14988.0;157867.0;10.5
2019;11;Andalucía;Europa;Francia;73058.0;595695.0;8.2
2019;11;Andalucía;Europa;Georgia;118.0;800.0;6.8
2019;11;Andalucía;Europa;Grecia;1921.0;15638.0;8.1
2019;11;Andalucía;Europa;Hungría;2539.0;18222.0;7.2
2019;11;Andalucía;Europa;Irlanda;13294.0;91996.0;6.9
2019;11;Andalucía;Europa;Islandia;152.0;1754.0;11.5
